Source:,https://www.who.int/immunization/monitoring_surveillance/data/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaccine Preventable Diseases (VPD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Disease,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Africa,CRS,9,18,24,14,78,14,3,69,0,16,47,0,1,8,3,4,9,0,0,0,0,,,,,,,,,,,,,,,,,,,
World,CRS,993,449,835,369,282,142,134,302,214,31,161,243,225,64,41,89,116,41,85,156,68,14,33,,,,,,,,,,,,,,,,,
Africa,Diphtheria,11400,1971,118,2870,1654,1,128,27,13,50,10,72,17,351,54,23,216,941,2587,4038,226,931,117,2282,229,1439,2357,2869,2995,2588,6009,2925,1558,2625,5060,5135,4099,4618,2764,8771
World,Diphtheria,22625,16911,8819,7102,4535,7774,4680,4490,5626,4603,4349,4978,4642,4333,8137,10069,7154,9035,10725,11625,4810,7441,14767,28624,56965,54816,31242,20851,24738,22133,29779,31526,27754,29132,42335,45235,49797,60040,74098,97164
Africa,Japanese Encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Japanese Encephalitis,3690,4402,4668,5399,4086,4810,3871,2351,3392,3856,5163,5198,9487,8040,78,39,37,49,,,,,,,,,,,,,,,,,,,,,,
Africa,Measles,618595,125426,72603,36269,52758,73914,171178,108004,195620,199174,83479,37012,76410,99420,316219,220180,403016,288340,491989,520102,486660,373149,299623,484914,362925,420193,395025,581125,446517,481204,561896,604244,641057,676757,1142002,1076106,1346883,1342685,1413184,1240993
World,Measles,869770,360296,173457,132490,214808,282078,275307,212376,359332,343806,278637,278751,285031,377576,585701,513406,679856,586471,849173,853479,752407,694466,825673,870218,720391,926808,1143945,1481192,1370243,1325074,1822390,1663940,1682847,2078696,2819553,3026973,3586101,3623758,4078455,3852242
Africa,Mumps,38795,54482,41490,100576,28492,7,8147,2401,10808,13836,1698,16944,9097,9303,18215,19266,11550,18023,15731,38713,13327,,,,,,,,,,,,,,,,,,,
World,Mumps,165609,502027,560784,592174,385781,311602,516316,687934,726638,619389,546684,537740,407873,643321,619062,654216,334524,487932,412341,544093,558122,,,,,,,,,,,,,,,,,,,
Africa,nTetanus,1151,1130,979,1183,1289,835,1449,2049,1908,1937,1517,2182,1346,3468,4415,2693,2364,4693,5160,5175,2696,4855,3207,3633,2603,3977,4751,4461,4801,7029,6918,5419,5749,5361,4819,4741,3400,5343,3312,2265
World,nTetanus,2250,1803,2266,1997,3580,2238,4149,4654,4295,5085,5611,6635,6225,8416,9848,9414,9043,11633,14017,17935,10985,16628,15766,13091,10538,12872,15985,15829,23717,25293,29064,31886,18985,20394,17438,18483,15870,18008,13284,13005
Africa,Pertussis,4121,14001,7082,1435,7565,10098,9930,16839,5816,4929,15768,19429,21197,18399,22139,26335,16418,19452,50386,52008,11066,38961,12101,35382,16274,25402,32602,39531,180857,89515,118505,101350,167035,179607,240247,238446,321059,397841,347776,367961
World,Pertussis,132754,169240,163030,174624,156065,186438,172109,250330,173441,161234,166592,148095,139521,127410,152784,245377,116598,135944,174847,190475,116297,188975,168111,141339,164976,253822,237133,255494,430493,442492,596488,523574,688441,835431,1007832,1025918,1362689,1814178,1795493,1968363
Africa,Polio,318,65,22,5,18,51,93,168,398,709,855,996,438,1213,885,934,446,212,70,1863,2861,991,1088,1949,2198,1594,2015,1555,1728,4228,3096,4543,2782,3425,3935,2968,3066,3897,4191,5126
World,Polio,368,104,96,42,106,415,482,294,717,1412,1789,1736,1390,2023,2033,1256,784,1922,496,2971,7141,6347,5186,4070,7043,8666,10500,15304,13274,23053,26104,34617,39683,32846,38483,35084,39973,51628,65737,52630
Africa,Rubella,6027,11787,6166,4157,5302,7402,13739,10850,16190,2754,17422,16297,3993,2457,2868,4452,4835,2265,1572,865,51,,,,,,,,,,,,,,,,,,,
World,Rubella,49075,26010,16393,23419,23760,33516,101156,94277,114456,75961,121378,181029,196501,250102,267983,308213,317415,639747,836332,670894,875116,130569,125056,,,,,,,,,,,,,,,,,
Africa,ttetanus,3606,5235,2791,5787,3529,2900,5149,4737,4355,4311,4607,5505,5157,5825,2861,2417,2017,10872,6482,5835,2463,2874,2496,4634,1322,1707,6817,7170,8887,12281,13634,14425,15648,11896,14449,16104,18054,21571,19925,17241
World,ttetanus,14751,15103,12509,13813,10338,12531,13532,10475,12649,11181,11981,15850,20361,15305,15675,13987,14220,31376,20800,23711,15951,20469,23145,12537,13019,48086,42530,39931,46292,64737,78693,73310,75932,85859,104546,89587,99078,115440,105679,113936
Africa,Yellow Fever,360,734,53,1040,35,31,268,246,2574,714,76,270,212,272,474,1253,498,610,572,593,8,33,47,292,695,1351,218,176,2561,4248,3270,5104,3012,1318,13,917,743,31,7,24
World,Yellow Fever,459,2064,876,1154,72,54,294,262,2591,737,136,372,265,358,591,1376,739,715,656,699,216,309,193,439,1219,1440,410,295,2712,4339,3507,5344,3247,1477,138,1012,793,171,238,144